"","Plug","N","ChlA.ug.pro.mg","sd","se","ci"
"1",1051,3,91.7916795741091,23.5836222064562,13.6160106293639,58.5849653027304
"2",1082,3,23.7612258993507,1.13745043156641,0.656707312854721,2.8255835123008
"3",1083,3,26.0306714044155,1.6733691219943,0.966120113037014,4.15687934162457
"4",1235,3,6.16435492894708,0.277730063705198,0.160347527042248,0.689919724936904
"5",1246,3,4.33240267486415,0.246361129350098,0.142236664348139,0.611994972127979
"6",1260,3,36.2955177302203,3.51142753873003,2.02732363472565,8.7228695710379
"7",1264,3,43.9247530477873,1.25802302551025,0.726319932425091,3.12510243992026
"8",1275,3,16.180351922753,1.30463671403486,0.753232358042696,3.24089726146803
"9",1316,3,24.7926358834317,1.9314468838997,1.11512137834495,4.7979800425379
"10",1329,3,34.9764874693877,1.3906526690391,0.802893692818996,3.45457273910628
"11",1353,3,13.2960479163812,0.973710587555183,0.562172069837774,2.4188311908764
"12",1411,3,6.02127517659806,0.384808293424378,0.222169171794965,0.955916793489784
"13",1436,3,8.67812815827559,7.21559559181269e-15,4.16592605729654e-15,1.79245331223614e-14
"14",1459,3,7.71621567036707,0.998947318438325,0.576742503206622,2.48152270578451
"15",1484,3,35.7357717440804,1.05786448949534,0.610758347776282,2.62788107227689
"16",1534,3,38.6737760958073,0.936922299061212,0.540932341572754,2.32744401607778
"17",1606,3,22.654466300773,1.37181226090298,0.792016178109963,3.40777057075057
"18",1679,3,19.2168293905741,1.80527470616248,1.04227583756413,4.48455097764721
"19",1695,3,52.0972201871336,7.28182896128429,4.2041659109903,18.089065933242
"20",1709,3,72.0199153272739,1.76424842140673,1.01858930101655,4.38263603651245
"21",1756,3,76.4766985571354,1.9879332618418,1.14773380385537,4.93829998418405
"22",1765,3,24.3348527816787,2.00518801944579,1.15769584280284,4.98116317825524
"23",1779,3,14.9076326025597,4.62494324658045,2.67021222839996,11.4889959335355
"24",1811,3,27.3756553204348,2.37101959162844,1.36890879948056,5.88993918286307
"25",2012,3,18.2726859273764,1.03651193313906,0.598430443616095,2.57483838178997
"26",2014,3,26.0665706468604,2.95588627206115,1.70658173486842,7.3428285600722
"27",2015,3,25.6703157921128,2.42822503348018,1.40193637673277,6.03204537828433
"28",2067,3,15.1992828870416,0.917773920874998,0.529877020272398,2.27987680770655
"29",2070,3,14.90700381979,0.432897947951913,0.249933746781674,1.07537811784668
"30",2146,3,7.97180877474121,1.03748655463627,0.598993141599871,2.57725947580589
"31",2164,3,7.6988547536144,0.914466448019475,0.527967449928925,2.27166058965555
"32",2184,3,37.3747756113986,2.85599942941493,1.64891203937813,7.09469588734706
"33",2189,3,47.5787094024572,1.17226026112523,0.676804777320955,2.91205592264748
"34",2303,3,9.17111268295687,0.388901871020553,0.224532599922065,0.966085803972419
"35",2304,3,38.9305579839778,2.21911066040233,1.28120413714485,5.51257647805261
"36",2407,3,15.8950588582352,0.777838983735843,0.449085546646074,1.93225915316776
"37",2410,3,4.00551578241047,0.251587087380181,0.145253872623581,0.624976971550533
"38",2513,3,25.0836953218407,2.07997345140188,1.20087323207415,5.1669404900669
"39",2517,3,6.85113331163369,0.576087988783088,0.332604555400826,1.43108189822247
"40",2525,3,28.7270934721407,2.24444865165382,1.29583303321462,5.57551953766043
"41",2564,3,13.3586533893481,2.44793502317376,1.41331594458808,6.08100770698035
"42",2735,3,10.4400645243583,0.738003318559062,0.426086414632911,1.83330187502946
"43",2753,3,30.9361704920304,2.38868474570579,1.37910778094239,5.9338218582905
"44",2858,3,10.0417643589304,1.65708285862515,0.956717234496747,4.11642202060579
"45",2863,3,12.1996013446465,0.376634265712174,0.217449894694961,0.935611382993006
"46",2882,3,33.7092425098014,2.21268212262184,1.27749261912679,5.49660710492068
