"Bleaching.Score","PLUG.ID","Timepoint","Treatment"
-0.0721275405106015,"1051","t1","Light"
3.56525875177476,"1051","t2","Light"
-5.19459956075449,"1082","t1","Dark"
3.45387733943642,"1082","t2","Dark"
3.28500118693635,"1083","t1","Light.Fed"
3.86078030051891,"1083","t2","Light.Fed"
1.70329231796778,"1235","t1","Light"
-4.41247773517666,"1235","t2","Light"
-0.315422529324801,"1246","t1","Light.Fed"
2.37209925753164,"1246","t2","Light.Fed"
3.76004837573178,"1260","t1","Light"
-0.40909890294168,"1260","t2","Light"
3.62097382751348,"1264","t1","Light"
0.150041308570536,"1264","t2","Light"
2.76713013851203,"1275","t1","Light.Fed"
3.01900800551269,"1275","t2","Light.Fed"
3.55708075957526,"1316","t1","Light.Fed"
3.3108575576935,"1316","t2","Light.Fed"
3.73985016890625,"1329","t1","Light"
2.62982700342305,"1329","t2","Light"
3.75167895692863,"1353","t1","Light.Fed"
3.0520396871704,"1353","t2","Light.Fed"
3.28858756166179,"1411","t1","Dark"
1.64471180447971,"1411","t2","Dark"
-6.98875863065703,"1436","t1","Light"
1.1094330034301,"1436","t2","Light"
3.56341911347496,"1459","t1","Light"
1.81070747557218,"1459","t2","Light"
3.72181948548024,"1484","t1","Light.Fed"
3.92820330052949,"1484","t2","Light.Fed"
2.15692074625209,"1534","t1","Light"
3.89266420268278,"1534","t2","Light"
3.58012831490419,"1562","t1","Dark"
2.7977133393897,"1562","t2","Dark"
3.72620853698491,"1606","t1","Light"
1.4090633807281,"1606","t2","Light"
-8.31681214733965,"1679","t1","Dark"
2.37891090358739,"1679","t2","Dark"
3.38946099855624,"1695","t1","Light"
-3.05571261447704,"1695","t2","Light"
1.723031861953,"1709","t1","Dark"
2.63606758210958,"1709","t2","Dark"
3.53890385250806,"1756","t1","Light.Fed"
2.33705921435808,"1756","t2","Light.Fed"
2.67894245074294,"1765","t1","Dark"
2.88564194810745,"1765","t2","Dark"
-2.85528103285854,"1779","t1","Light"
3.58432303581826,"1779","t2","Light"
1.62843387211236,"1811","t1","Light"
3.27941249898885,"1811","t2","Light"
-3.53085955205312,"2012","t1","Dark"
-0.758989406129848,"2012","t2","Dark"
2.88294684317922,"2014","t1","Dark"
0.725419545073208,"2014","t2","Dark"
-6.34805872305832,"2015","t1","Light"
2.90936835343414,"2015","t2","Light"
2.47867523692477,"2067","t1","Dark"
1.13881813788753,"2067","t2","Dark"
2.7569124539352,"2070","t1","Light.Fed"
0.622666828561554,"2070","t2","Light.Fed"
0.139929839817607,"2146","t1","Dark"
2.95810259122098,"2146","t2","Dark"
3.85151140054813,"2164","t1","Light"
2.58577748280891,"2164","t2","Light"
3.82488233473461,"2184","t1","Light.Fed"
2.12759408541182,"2184","t2","Light.Fed"
3.09434729582737,"2189","t1","Light.Fed"
3.70802569512537,"2189","t2","Light.Fed"
0.234999139144466,"2303","t1","Light.Fed"
2.03685654830588,"2303","t2","Light.Fed"
2.52126539147301,"2304","t1","Dark"
0.890322148055709,"2304","t2","Dark"
2.24182298088984,"2407","t1","Dark"
-3.52140611508155,"2407","t2","Dark"
0.946429368771582,"2410","t1","Light.Fed"
3.21297798629589,"2410","t2","Light.Fed"
3.77319197272301,"2513","t1","Light.Fed"
2.63570981665776,"2513","t2","Light.Fed"
-1.20340232413597,"2517","t1","Dark"
3.27514764133515,"2517","t2","Dark"
3.75904133225054,"2525","t1","Light.Fed"
3.1096679034887,"2525","t2","Light.Fed"
1.60607809826854,"2564","t1","Dark"
-15.9767305294178,"2564","t2","Dark"
2.83634616741925,"2735","t1","Dark"
2.96906415884474,"2735","t2","Dark"
1.94435895305362,"2753","t1","Light.Fed"
2.55067084089272,"2753","t2","Light.Fed"
3.68439328743168,"2858","t1","Dark"
-17.7192937540224,"2858","t2","Dark"
3.39182944131077,"2861","t1","Light"
-0.149420315694505,"2861","t2","Light"
3.64923361837177,"2863","t1","Light"
3.0768639005401,"2863","t2","Light"
0.598031645644603,"2882","t1","Light.Fed"
3.34191072266041,"2882","t2","Light.Fed"
