PLUG.ID,IMG,Treatment,Polyp,Treatment,Time,Red.Standard,Blue.Standard ,Green.Standard,Red.Coral,Blue.Coral,Green.Coral
2012,5,Acclimation,1,4,t0,253.704,183.294,68.093,83.589,36.358,62.139
2012,5,Acclimation,2,4,t0,253.704,183.294,68.093,113.115,51.295,89.306
2012,5,Acclimation,3,4,t0,253.704,183.294,68.093,120.2,36.883,84.974
1329,5,Acclimation,1,4,t0,253.704,183.294,68.093,60.836,32.856,47.485
1329,5,Acclimation,2,4,t0,253.704,183.294,68.093,59.209,26.175,41.961
1329,5,Acclimation,3,4,t0,253.704,183.294,68.093,74.802,25.367,49.804
1695,6,Acclimation,1,4,t0,171.238,113.67,47.576,70.736,25.424,51.691
1695,6,Acclimation,2,4,t0,171.238,113.67,47.576,59.21,20.313,41.286
1695,6,Acclimation,3,4,t0,171.238,113.67,47.576,60.503,20.471,42.272
2407,6,Acclimation,1,4,t0,171.238,113.67,47.576,92.797,36.047,67.361
2407,6,Acclimation,2,4,t0,171.238,113.67,47.576,80.466,28.135,56.23
2407,6,Acclimation,3,4,t0,171.238,113.67,47.576,90.075,32.584,65.685
1353,6,Acclimation,1,4,t0,171.238,113.67,47.576,137.5,86.997,149.023
1353,6,Acclimation,2,4,t0,171.238,113.67,47.576,185.182,80.806,152.802
1353,6,Acclimation,3,4,t0,171.238,113.67,47.576,217.087,110.554,183.488
1606,6,Acclimation,1,4,t0,171.238,113.67,47.576,96.055,42.942,75.1889
1606,6,Acclimation,2,4,t0,171.238,113.67,47.576,94.015,45.434,76.725
1606,6,Acclimation,3,4,t0,171.238,113.67,47.576,82.757,39.263,67.403
1083,6,Acclimation,1,4,t0,171.238,113.67,47.576,165.085,77.085,135.776
1083,6,Acclimation,2,4,t0,171.238,113.67,47.576,150.192,58.062,116.792
1083,6,Acclimation,3,4,t0,171.238,113.67,47.576,155.036,74.123,127.108
2189,6,Acclimation,1,4,t0,171.238,113.67,47.576,107.317,46.517,87.337
2189,6,Acclimation,2,4,t0,171.238,113.67,47.576,112.8,43.997,88.929
2189,6,Acclimation,3,4,t0,171.238,113.67,47.576,132.866,51.601,103.048
1319,6,Acclimation,1,4,t0,171.238,113.67,47.576,124.223,50.486,99.361
1319,6,Acclimation,2,4,t0,171.238,113.67,47.576,126.773,47.991,97.796
1319,6,Acclimation,3,4,t0,171.238,113.67,47.576,117.623,49.462,96.405
2564,6,Acclimation,1,4,t0,171.238,113.67,47.576,85.274,42.298,70.035
2564,6,Acclimation,2,4,t0,171.238,113.67,47.576,94.668,48.48,79.195
