"Plot Title: Tank 6"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20444033, SEN S/N: 20444033)","Coupler Detached (LGR S/N: 20444033)","Coupler Attached (LGR S/N: 20444033)","Host Connected (LGR S/N: 20444033)","End Of File (LGR S/N: 20444033)"
1,02/22/19 12:00:00 PM,16.010,Logged,,,
2,02/22/19 12:15:00 PM,16.725,,,,
3,02/22/19 12:30:00 PM,17.558,,,,
4,02/22/19 12:45:00 PM,18.057,,,,
5,02/22/19 01:00:00 PM,18.604,,,,
6,02/22/19 01:15:00 PM,19.318,,,,
7,02/22/19 01:30:00 PM,19.793,,,,
8,02/22/19 01:45:00 PM,20.269,,,,
9,02/22/19 02:00:00 PM,19.817,,,,
10,02/22/19 02:15:00 PM,19.722,,,,
11,02/22/19 02:30:00 PM,19.270,,,,
12,02/22/19 02:45:00 PM,19.436,,,,
13,02/22/19 03:00:00 PM,19.270,,,,
14,02/22/19 03:15:00 PM,19.246,,,,
15,02/22/19 03:30:00 PM,19.484,,,,
16,02/22/19 03:45:00 PM,19.270,,,,
17,02/22/19 04:00:00 PM,19.103,,,,
18,02/22/19 04:15:00 PM,19.365,,,,
19,02/22/19 04:30:00 PM,19.579,,,,
20,02/22/19 04:45:00 PM,19.080,,,,
21,02/22/19 05:00:00 PM,18.961,,,,
22,02/22/19 05:15:00 PM,19.056,,,,
23,02/22/19 05:30:00 PM,19.151,,,,
24,02/22/19 05:45:00 PM,19.246,,,,
25,02/22/19 06:00:00 PM,19.318,,,,
26,02/22/19 06:15:00 PM,19.389,,,,
27,02/22/19 06:30:00 PM,19.460,,,,
28,02/22/19 06:45:00 PM,19.508,,,,
29,02/22/19 07:00:00 PM,19.555,,,,
30,02/22/19 07:15:00 PM,19.603,,,,
31,02/22/19 07:30:00 PM,19.651,,,,
32,02/22/19 07:45:00 PM,19.674,,,,
33,02/22/19 08:00:00 PM,19.698,,,,
34,02/22/19 08:15:00 PM,19.698,,,,
35,02/22/19 08:30:00 PM,19.722,,,,
36,02/22/19 08:45:00 PM,19.746,,,,
37,02/22/19 09:00:00 PM,19.746,,,,
38,02/22/19 09:15:00 PM,19.722,,,,
39,02/22/19 09:30:00 PM,19.722,,,,
40,02/22/19 09:45:00 PM,19.722,,,,
41,02/22/19 10:00:00 PM,19.722,,,,
42,02/22/19 10:15:00 PM,19.746,,,,
43,02/22/19 10:30:00 PM,19.746,,,,
44,02/22/19 10:45:00 PM,19.555,,,,
45,02/22/19 11:00:00 PM,18.985,,,,
46,02/22/19 11:15:00 PM,19.032,,,,
47,02/22/19 11:30:00 PM,19.080,,,,
48,02/22/19 11:45:00 PM,19.127,,,,
49,02/23/19 12:00:00 AM,19.175,,,,
50,02/23/19 12:15:00 AM,19.222,,,,
51,02/23/19 12:30:00 AM,19.246,,,,
52,02/23/19 12:45:00 AM,19.270,,,,
