"Plot Title: Tank 4"
"#","Date Time, GMT-05:00","Temp, °C (LGR S/N: 20444032, SEN S/N: 20444032)","Coupler Detached (LGR S/N: 20444032)","Coupler Attached (LGR S/N: 20444032)","Host Connected (LGR S/N: 20444032)","Stopped (LGR S/N: 20444032)","End Of File (LGR S/N: 20444032)"
1,02/22/19 12:00:00 PM,14.290,Logged,,,,
2,02/22/19 12:15:00 PM,15.294,,,,,
3,02/22/19 12:30:00 PM,16.296,,,,,
4,02/22/19 12:45:00 PM,17.034,,,,,
5,02/22/19 01:00:00 PM,17.534,,,,,
6,02/22/19 01:15:00 PM,18.295,,,,,
7,02/22/19 01:30:00 PM,19.103,,,,,
8,02/22/19 01:45:00 PM,19.912,,,,,
9,02/22/19 02:00:00 PM,19.532,,,,,
10,02/22/19 02:15:00 PM,19.151,,,,,
11,02/22/19 02:30:00 PM,19.199,,,,,
12,02/22/19 02:45:00 PM,19.032,,,,,
13,02/22/19 03:00:00 PM,19.579,,,,,
14,02/22/19 03:15:00 PM,19.080,,,,,
15,02/22/19 03:30:00 PM,19.389,,,,,
16,02/22/19 03:45:00 PM,19.294,,,,,
17,02/22/19 04:00:00 PM,18.675,,,,,
18,02/22/19 04:15:00 PM,18.985,,,,,
19,02/22/19 04:30:00 PM,19.270,,,,,
20,02/22/19 04:45:00 PM,18.889,,,,,
21,02/22/19 05:00:00 PM,18.533,,,,,
22,02/22/19 05:15:00 PM,18.699,,,,,
23,02/22/19 05:30:00 PM,18.889,,,,,
24,02/22/19 05:45:00 PM,19.056,,,,,
25,02/22/19 06:00:00 PM,19.175,,,,,
26,02/22/19 06:15:00 PM,19.270,,,,,
27,02/22/19 06:30:00 PM,19.365,,,,,
28,02/22/19 06:45:00 PM,19.460,,,,,
29,02/22/19 07:00:00 PM,19.008,,,,,
30,02/22/19 07:15:00 PM,18.652,,,,,
31,02/22/19 07:30:00 PM,18.771,,,,,
32,02/22/19 07:45:00 PM,18.866,,,,,
33,02/22/19 08:00:00 PM,18.961,,,,,
34,02/22/19 08:15:00 PM,19.032,,,,,
35,02/22/19 08:30:00 PM,19.103,,,,,
36,02/22/19 08:45:00 PM,19.175,,,,,
37,02/22/19 09:00:00 PM,19.222,,,,,
38,02/22/19 09:15:00 PM,19.270,,,,,
39,02/22/19 09:30:00 PM,19.318,,,,,
40,02/22/19 09:45:00 PM,19.365,,,,,
41,02/22/19 10:00:00 PM,19.413,,,,,
42,02/22/19 10:15:00 PM,19.508,,,,,
43,02/22/19 10:30:00 PM,19.103,,,,,
44,02/22/19 10:45:00 PM,18.580,,,,,
45,02/22/19 11:00:00 PM,18.675,,,,,
46,02/22/19 11:15:00 PM,18.771,,,,,
47,02/22/19 11:30:00 PM,18.866,,,,,
48,02/22/19 11:45:00 PM,18.937,,,,,
49,02/23/19 12:00:00 AM,19.008,,,,,
50,02/23/19 12:15:00 AM,19.080,,,,,
51,02/23/19 12:30:00 AM,19.127,,,,,
52,02/23/19 12:45:00 AM,19.175,,,,,
53,02/23/19 01:00:00 AM,19.222,,,,,
54,02/23/19 01:15:00 AM,19.270,,,,,
55,02/23/19 01:30:00 AM,19.294,,,,,
56,02/23/19 01:45:00 AM,19.341,,,,,
57,02/23/19 02:00:00 AM,19.365,,,,,
58,02/23/19 02:15:00 AM,19.389,,,,,
59,02/23/19 02:30:00 AM,19.413,,,,,
60,02/23/19 02:45:00 AM,19.436,,,,,
61,02/23/19 03:00:00 AM,19.436,,,,,
62,02/23/19 03:15:00 AM,19.460,,,,,
63,02/23/19 03:30:00 AM,19.484,,,,,
64,02/23/19 03:45:00 AM,19.484,,,,,
65,02/23/19 04:00:00 AM,19.508,,,,,
66,02/23/19 04:15:00 AM,19.508,,,,,
67,02/23/19 04:30:00 AM,19.532,,,,,
68,02/23/19 04:45:00 AM,19.532,,,,,
69,02/23/19 05:00:00 AM,19.532,,,,,
70,02/23/19 05:15:00 AM,19.175,,,,,
71,02/23/19 05:30:00 AM,18.675,,,,,
72,02/23/19 05:45:00 AM,18.747,,,,,
73,02/23/19 06:00:00 AM,18.794,,,,,
74,02/23/19 06:15:00 AM,18.866,,,,,
75,02/23/19 06:30:00 AM,18.937,,,,,
76,02/23/19 06:45:00 AM,19.056,,,,,
77,02/23/19 07:00:00 AM,19.175,,,,,
78,02/23/19 07:15:00 AM,19.318,,,,,
79,02/23/19 07:30:00 AM,19.460,,,,,
80,02/23/19 07:45:00 AM,19.627,,,,,
81,02/23/19 08:00:00 AM,18.889,,,,,
82,02/23/19 08:15:00 AM,19.341,,,,,
83,02/23/19 08:30:00 AM,19.841,,,,,
84,02/23/19 08:45:00 AM,19.603,,,,,
85,02/23/19 09:00:00 AM,19.722,,,,,
86,02/23/19 09:15:00 AM,19.912,,,,,
87,02/23/19 09:30:00 AM,20.007,,,,,
88,02/23/19 09:45:00 AM,19.984,,,,,
89,02/23/19 10:00:00 AM,19.960,,,,,
90,02/23/19 10:15:00 AM,19.841,,,,,
91,02/23/19 10:30:00 AM,19.912,,,,,
92,02/23/19 10:45:00 AM,19.817,,,,,
93,02/23/19 11:00:00 AM,19.294,,,,,
94,02/23/19 11:15:00 AM,19.532,,,,,
95,02/23/19 11:30:00 AM,19.175,,,,,
96,02/23/19 11:45:00 AM,19.579,,,,,
97,02/23/19 12:00:00 PM,19.127,,,,,
98,02/23/19 12:15:00 PM,19.674,,,,,
99,02/23/19 12:30:00 PM,19.103,,,,,
100,02/23/19 12:45:00 PM,19.294,,,,,
101,02/23/19 01:00:00 PM,19.627,,,,,
102,02/23/19 01:15:00 PM,18.937,,,,,
103,02/23/19 01:30:00 PM,19.389,,,,,
104,02/23/19 01:45:00 PM,19.508,,,,,
105,02/23/19 02:00:00 PM,19.032,,,,,
106,02/23/19 02:15:00 PM,19.341,,,,,
107,02/23/19 02:30:00 PM,19.270,,,,,
108,02/23/19 02:45:00 PM,18.961,,,,,
109,02/23/19 03:00:00 PM,19.222,,,,,
110,02/23/19 03:15:00 PM,19.460,,,,,
111,02/23/19 03:30:00 PM,18.699,,,,,
112,02/23/19 03:45:00 PM,18.866,,,,,
113,02/23/19 04:00:00 PM,19.056,,,,,
114,02/23/19 04:15:00 PM,19.222,,,,,
115,02/23/19 04:30:00 PM,19.365,,,,,
116,02/23/19 04:45:00 PM,19.460,,,,,
117,02/23/19 05:00:00 PM,18.580,,,,,
118,02/23/19 05:15:00 PM,18.699,,,,,
119,02/23/19 05:30:00 PM,18.842,,,,,
120,02/23/19 05:45:00 PM,18.961,,,,,
121,02/23/19 06:00:00 PM,19.032,,,,,
122,02/23/19 06:15:00 PM,19.151,,,,,
123,02/23/19 06:30:00 PM,19.270,,,,,
124,02/23/19 06:45:00 PM,19.389,,,,,
125,02/23/19 07:00:00 PM,19.389,,,,,
126,02/23/19 07:15:00 PM,18.604,,,,,
127,02/23/19 07:30:00 PM,18.771,,,,,
128,02/23/19 07:45:00 PM,18.913,,,,,
129,02/23/19 08:00:00 PM,19.056,,,,,
130,02/23/19 08:15:00 PM,19.151,,,,,
131,02/23/19 08:30:00 PM,19.246,,,,,
132,02/23/19 08:45:00 PM,19.389,,,,,
133,02/23/19 09:00:00 PM,19.460,,,,,
134,02/23/19 09:15:00 PM,19.508,,,,,
135,02/23/19 09:30:00 PM,18.604,,,,,
136,02/23/19 09:45:00 PM,18.699,,,,,
137,02/23/19 10:00:00 PM,18.842,,,,,
138,02/23/19 10:15:00 PM,18.937,,,,,
139,02/23/19 10:30:00 PM,19.032,,,,,
140,02/23/19 10:45:00 PM,19.127,,,,,
141,02/23/19 11:00:00 PM,19.222,,,,,
142,02/23/19 11:15:00 PM,19.294,,,,,
143,02/23/19 11:30:00 PM,19.365,,,,,
144,02/23/19 11:45:00 PM,19.436,,,,,
145,02/24/19 12:00:00 AM,19.460,,,,,
146,02/24/19 12:15:00 AM,19.508,,,,,
147,02/24/19 12:30:00 AM,19.151,,,,,
148,02/24/19 12:45:00 AM,18.652,,,,,
149,02/24/19 01:00:00 AM,18.818,,,,,
150,02/24/19 01:15:00 AM,18.985,,,,,
151,02/24/19 01:30:00 AM,19.175,,,,,
152,02/24/19 01:45:00 AM,19.270,,,,,
153,02/24/19 02:00:00 AM,19.389,,,,,
154,02/24/19 02:15:00 AM,19.460,,,,,
155,02/24/19 02:30:00 AM,19.056,,,,,
156,02/24/19 02:45:00 AM,18.628,,,,,
157,02/24/19 03:00:00 AM,18.794,,,,,
158,02/24/19 03:15:00 AM,18.961,,,,,
159,02/24/19 03:30:00 AM,19.103,,,,,
160,02/24/19 03:45:00 AM,19.199,,,,,
161,02/24/19 04:00:00 AM,19.294,,,,,
162,02/24/19 04:15:00 AM,19.389,,,,,
163,02/24/19 04:30:00 AM,19.436,,,,,
164,02/24/19 04:45:00 AM,19.484,,,,,
165,02/24/19 05:00:00 AM,19.056,,,,,
166,02/24/19 05:15:00 AM,18.699,,,,,
167,02/24/19 05:30:00 AM,18.842,,,,,
168,02/24/19 05:45:00 AM,18.985,,,,,
169,02/24/19 06:00:00 AM,19.056,,,,,
170,02/24/19 06:15:00 AM,19.151,,,,,
171,02/24/19 06:30:00 AM,19.199,,,,,
172,02/24/19 06:45:00 AM,19.270,,,,,
173,02/24/19 07:00:00 AM,19.294,,,,,
174,02/24/19 07:15:00 AM,19.341,,,,,
175,02/24/19 07:30:00 AM,19.436,,,,,
176,02/24/19 07:45:00 AM,19.484,,,,,
177,02/24/19 08:00:00 AM,19.484,,,,,
178,02/24/19 08:15:00 AM,19.508,,,,,
179,02/24/19 08:30:00 AM,19.532,,,,,
180,02/24/19 08:45:00 AM,19.579,,,,,
181,02/24/19 09:00:00 AM,19.579,,,,,
182,02/24/19 09:15:00 AM,19.579,,,,,
183,02/24/19 09:30:00 AM,18.699,,,,,
184,02/24/19 09:45:00 AM,18.747,,,,,
185,02/24/19 10:00:00 AM,18.842,,,,,
186,02/24/19 10:15:00 AM,18.913,,,,,
187,02/24/19 10:30:00 AM,18.985,,,,,
188,02/24/19 10:45:00 AM,19.056,,,,,
189,02/24/19 11:00:00 AM,19.199,,,,,
190,02/24/19 11:15:00 AM,19.318,,,,,
191,02/24/19 11:30:00 AM,19.436,,,,,
192,02/24/19 11:45:00 AM,19.484,,,,,
193,02/24/19 12:00:00 PM,19.532,,,,,
194,02/24/19 12:15:00 PM,19.508,,,,,
195,02/24/19 12:30:00 PM,18.699,,,,,
196,02/24/19 12:45:00 PM,18.889,,,,,
197,02/24/19 01:00:00 PM,19.056,,,,,
198,02/24/19 01:15:00 PM,19.222,,,,,
199,02/24/19 01:30:00 PM,19.341,,,,,
200,02/24/19 01:45:00 PM,19.413,,,,,
201,02/24/19 02:00:00 PM,19.484,,,,,
202,02/24/19 02:15:00 PM,18.699,,,,,
203,02/24/19 02:30:00 PM,18.818,,,,,
204,02/24/19 02:45:00 PM,18.961,,,,,
205,02/24/19 03:00:00 PM,19.080,,,,,
206,02/24/19 03:15:00 PM,19.199,,,,,
207,02/24/19 03:30:00 PM,19.294,,,,,
208,02/24/19 03:45:00 PM,19.365,,,,,
209,02/24/19 04:00:00 PM,19.460,,,,,
210,02/24/19 04:15:00 PM,19.508,,,,,
211,02/24/19 04:30:00 PM,19.484,,,,,
212,02/24/19 04:45:00 PM,18.675,,,,,
213,02/24/19 05:00:00 PM,18.771,,,,,
214,02/24/19 05:15:00 PM,18.866,,,,,
215,02/24/19 05:30:00 PM,18.985,,,,,
216,02/24/19 05:45:00 PM,19.080,,,,,
217,02/24/19 06:00:00 PM,19.199,,,,,
218,02/24/19 06:15:00 PM,19.318,,,,,
219,02/24/19 06:30:00 PM,19.436,,,,,
220,02/24/19 06:45:00 PM,19.389,,,,,
221,02/24/19 07:00:00 PM,18.628,,,,,
222,02/24/19 07:15:00 PM,18.747,,,,,
223,02/24/19 07:30:00 PM,18.889,,,,,
224,02/24/19 07:45:00 PM,18.985,,,,,
225,02/24/19 08:00:00 PM,19.056,,,,,
226,02/24/19 08:15:00 PM,19.103,,,,,
227,02/24/19 08:30:00 PM,19.175,,,,,
228,02/24/19 08:45:00 PM,19.246,,,,,
229,02/24/19 09:00:00 PM,19.318,,,,,
230,02/24/19 09:15:00 PM,19.389,,,,,
231,02/24/19 09:30:00 PM,19.436,,,,,
232,02/24/19 09:45:00 PM,19.460,,,,,
233,02/24/19 10:00:00 PM,19.508,,,,,
234,02/24/19 10:15:00 PM,19.436,,,,,
235,02/24/19 10:30:00 PM,18.628,,,,,
236,02/24/19 10:45:00 PM,18.699,,,,,
237,02/24/19 11:00:00 PM,18.771,,,,,
238,02/24/19 11:15:00 PM,18.818,,,,,
239,02/24/19 11:30:00 PM,18.866,,,,,
240,02/24/19 11:45:00 PM,18.913,,,,,
241,02/25/19 12:00:00 AM,18.961,,,,,
242,02/25/19 12:15:00 AM,18.985,,,,,
243,02/25/19 12:30:00 AM,19.008,,,,,
244,02/25/19 12:45:00 AM,19.008,,,,,
245,02/25/19 01:00:00 AM,19.032,,,,,
246,02/25/19 01:15:00 AM,19.056,,,,,
247,02/25/19 01:30:00 AM,19.080,,,,,
248,02/25/19 01:45:00 AM,19.127,,,,,
249,02/25/19 02:00:00 AM,19.151,,,,,
250,02/25/19 02:15:00 AM,19.199,,,,,
251,02/25/19 02:30:00 AM,19.222,,,,,
252,02/25/19 02:45:00 AM,19.270,,,,,
253,02/25/19 03:00:00 AM,19.294,,,,,
254,02/25/19 03:15:00 AM,19.341,,,,,
255,02/25/19 03:30:00 AM,19.389,,,,,
256,02/25/19 03:45:00 AM,19.484,,,,,
257,02/25/19 04:00:00 AM,19.532,,,,,
258,02/25/19 04:15:00 AM,19.555,,,,,
259,02/25/19 04:30:00 AM,18.675,,,,,
260,02/25/19 04:45:00 AM,18.771,,,,,
261,02/25/19 05:00:00 AM,18.866,,,,,
262,02/25/19 05:15:00 AM,18.985,,,,,
263,02/25/19 05:30:00 AM,19.056,,,,,
264,02/25/19 05:45:00 AM,19.151,,,,,
265,02/25/19 06:00:00 AM,19.222,,,,,
266,02/25/19 06:15:00 AM,19.318,,,,,
267,02/25/19 06:30:00 AM,19.389,,,,,
268,02/25/19 06:45:00 AM,19.484,,,,,
269,02/25/19 07:00:00 AM,19.579,,,,,
270,02/25/19 07:15:00 AM,18.961,,,,,
271,02/25/19 07:30:00 AM,18.818,,,,,
272,02/25/19 07:45:00 AM,19.151,,,,,
273,02/25/19 08:00:00 AM,19.436,,,,,
274,02/25/19 08:15:00 AM,20.484,,,,,
275,02/25/19 08:30:00 AM,15.342,,,,,
276,02/25/19 08:45:00 AM,13.882,,,,,
277,02/25/19 09:00:00 AM,14.553,,,,,
278,02/25/19 09:15:00 AM,15.533,,,,,
279,02/25/19 09:30:00 AM,16.439,,,,,
